name;lat;lng;country
Tokyo;35.6897;139.6922;Japan
Jakarta;-6.175;106.8275;Indonesia
Delhi;28.61;77.23;India
Guangzhou;23.13;113.26;China
Mumbai;19.0761;72.8775;India
Manila;14.5958;120.9772;Philippines
Shanghai;31.1667;121.4667;China
Sao Paulo;-23.55;-46.6333;Brazil
Seoul;37.56;126.99;South Korea
Mexico City;19.4333;-99.1333;Mexico
Cairo;30.0444;31.2358;Egypt
New York;40.6943;-73.9249;United States
Dhaka;23.7639;90.3889;Bangladesh
Beijing;39.904;116.4075;China
Kolkata;22.5675;88.37;India
Bangkok;13.7525;100.4942;Thailand
Shenzhen;22.535;114.054;China
Moscow;55.7558;37.6178;Russia
Buenos Aires;-34.5997;-58.3819;Argentina
Istanbul;41.0136;28.955;Turkey
Karachi;24.86;67.01;Pakistan
Bangalore;2881735,00;77.5917;India
Ho Chi Minh City;2139136,00;106.7019;Vietnam
Osaka;34.6939;135.5022;Japan
Chengdu;30.66;104.0633;China
Tehran;35.6892;51.3889;Iran
Kinshasa;-4.325;15.3222;Congo (Kinshasa)
Rio de Janeiro;-22.9111;-43.2056;Brazil
Chennai;13.0825;80.275;India
Xi'an;34.2667;108.9;China
Lahore;31.5497;74.3436;Pakistan
Chongqing;29.55;106.5069;China
Los Angeles;34.1141;-118.4068;United States
Baoding;38.8671;115.4845;China
London;51.5072;-0.1275;United Kingdom
Linyi;35.1041;118.3502;China
Dongguan;23.0475;113.7493;China
Hyderabad;17.385;78.4867;India
Tianjin;39.1467;117.2056;China
Lima;-12.06;-77.0375;Peru
Wuhan;30.5872;114.2881;China
Nanyang;32.9987;112.5292;China
Hangzhou;30.25;120.1675;China
Foshan;23.0292;113.1056;China
Nagoya;35.1833;136.9;Japan
Taipei;25.0375;121.5625;Taiwan
Tongshan;34.261;117.1859;China
Luanda;-8.8383;13.2344;Angola
Zhoukou;33.625;114.6418;China
Ganzhou;25.8292;114.9336;China
